year,author
1995,A. A. S. Zuckerman
1989,A. I. Ogus
1995,A. I. Ogus
2005,A. W. Brian Simpson
2013,Abdul Karim Aldohni
1996,Adam Crawford
2003,Adam Crawford
2008,Adam Czarnota
2012,ADAM EDWARDS
2016,Adam Gearey
2004,Adam Gearey
2015,ADAM GEAREY
2007,Adrian Hunt
1992,Adrian L. James
2008,Agnes Fletcher; Nick O'Brien
2002,Aileen Kavanagh
2009,Aileen McColgan
2006,Aileen McColgan
2006,Aileen McHarg
2006,Aileen McHarg; Donald Nicolson
1997,Alain Alcouffe; Christiane Alcouffe
2012,Alain Pottage
1996,Alan A. Block
1985,Alan Booth; Roger Smith
1982,Alan C. Page
2014,Alan Dignam; Michael Galanis
1996,Alan Doig
1994,Alan Hunt
1986,Alan Hunt
2014,ALAN HUNT
1990,Alan Hunt
2004,Alan Hunt
1987,Alan Hunt
1983,Alan Hunt
1982,Alan Hunt
1988,Alan Norrie; Sammy Adelman
1995,Alan O'Day
1988,Alan Paterson; Lindsay Farmer; Frank Stephen; James Love
1987,Alan Thomson
1990,Albert Weale
2010,Aleardo Zanghellini
2012,Alex Faulkner; Bettina Lange; Christopher Lawless
2007,Alex Franklin; Robert G. Lee
2008,Alex Newbury
1990,Alexander McCall Smith
2016,Alfons Bora
1990,Alice Erh-Soon Tay
2001,Alison Diduck
2011,Alison Diduck
1995,Alison Diduck
1997,Alison Diduck; William Wilson
2012,Alison Dunn
1992,Alison Young
1999,Allan C. Hutchinson
1988,Allan Hutchinson; Melinda Jones
1985,Alpha Connelly
1983,Alun Howkins
2002,Amanda J. Perry
2008,Amanda Perry-Kessaris
2013,Amanda Perry-Kessaris
2000,Ambreena Manji
2014,AMBREENA MANJI
2001,Amitai Etzioni
1990,Andras Sajo
1995,Andras Sajo
2014,ANDRÁS SAJÓ
2003,André-Jean Arnaud; Alan Bradshaw
2009,Andrea Ross
2016,Andrea Ross; Rhys Jones
2016,Andreas Philippopoulos-Mihalopoulos
2015,ANDREAS PHILIPPOPOULOS-MIHALOPOULOS
2010,Andreas Stephan
1995,Andrew Bainham
1998,Andrew Bainham
1998,Andrew Boon
1992,Andrew Clark
1988,Andrew Clark
2003,Andrew D. Murray
2015,Andrew Francis
2009,Andrew Francis; Iain McDonald
1997,Andrew Fraser
2001,Andrew Fraser
1988,Andrew Gamble
1985,Andrew Green
2014,Andrew Johnston
2006,Andrew M. Francis; Iain W. McDonald
2007,Andrew Norris
1989,Andrew Petter
2012,Andrew S. Balmer; Ralph Sandland
1998,Andrew Sanders
2002,Andrew Sanders
1987,Andrew Sanders
2013,Andrew T.F. Lang
1993,Andrew Vincent
2011,Andromachi Georgosouli
1995,Andy Boon
2012,ANDY BOON
2005,Andy Boon; John Flood; Julian Webb
1997,Andy Cosh; Alan Hughes
1999,Anette Ballinger
2016,Angela Condello
2006,Anke J. Stock
2007,Ann Mumford
2002,Ann Mumford
2010,ANN MUMFORD
1988,Ann Stewart; Roger Burridge
2011,Anna K. Zimdars
1993,Anne Bottomley
1993,Anne Bottomley; Joanne Conaghan
1987,Anne Bottomley; Susie Gibson; Belinda Meteyard
2008,Anne Meuwese
2016,Anne Quéma
1995,Anne Worrall
2013,Anne-Mette Magnussen; Even Nilssen
1993,Annie Bunting
2009,Anthea Hucklesby
1996,Anthea Hucklesby
1989,Anthony Bradney
1998,Anthony Bradney
2008,Anthony Bradney
2001,Anthony Bradney
2016,ANTHONY BRADNEY
2015,ANTHONY BRADNEY
1986,Anthony Carty
1990,Anthony Carty; Jane Mair
2005,Anthony Lester; Lydia Clapinska
2012,ANTONIA LAYARD
2010,Antonia Layard
1998,Antony W. Dnes
1999,Arthur J. Jacobson
2012,Aurélie Mahalatchimy; Emmanuelle Rial-Sebbag; Virginie Tournay; Alex Faulkner
1992,Avrom Sherr
1989,Avrom Sherr; Julian Webb
2010,Baptiste Coulmont; Phil Hubbard
2010,Barbara G. Brents; Teela Sanders
1998,Barbara Hudson
2010,Barbara Sullivan
2008,Barry Luckock
2002,Barry Vaughan
1998,Barry Wright
2008,Belinda Bennett
1991,Belinda Bennett
2010,Belinda Brooks-Gordon
1985,Belinda Meteyard
2013,Ben Pontin
2007,Benjamin Morgan
1996,Bernard Ryan
1999,Bert Swart
2002,Bettina Lange
1986,Beverley Brown
1989,Beverley Brown
2010,BILL BOWRING
2009,Bill Bowring
2002,Bill Bowring
1999,Bill Felstiner
1986,Bill Rolston
1982,Birthe Jorgensen
1995,Bo Carlsson
1987,Boaventura de Sousa Santos
1983,Bob Ferguson
2006,Bob Simpson
1999,Bogumiła Puchalska
2009,Brenna Bhandar
2015,Brenna Bhandar
1982,Brian Bercusson
1988,Brian Bercusson
2015,BRIAN CHRISTOPHER JONES
1984,Brian Hipkin
1993,Brian Z. Tamanaha
2000,Brian Z. Tamanaha
1993,Bridget M. Hutter
2015,Bronwen Morgan; Declan Kuch
2011,Bryan Thomas
1982,Bryant Garth
1983,C. N. M. Pounder
1999,Carl F. Stychin
2000,Carl F. Stychin
1996,Carl F. Stychin
2001,Carol A. G. Jones
2003,Carol A. Heimer
2013,CAROL A.G. JONES
2000,Carol Harlow
1998,Carol Harlow
1999,Carol Harlow
1990,Carol Smart
1989,Carol Smart
1991,Carol Smart
1997,Carole Smith
2004,Carole Smith
2010,Caroline Hunter; Judy Nixon; Sadie Parr
2008,Caroline Hunter; Judy Nixon; Sarah Blandy
2012,Carolyn Abbot
2015,Catharine MacMillan
2014,CATHERINE RHODES
1985,Cathie Lloyd
2012,Catriona Rooke; Emilie Cloatre; Robert Dingwall
1998,Celia Wells
1988,Celia Wells
1988,Celia Wells
1985,Celia Wells
1991,Celia Wells; Derek Morgan
1997,Charles Craypo
2014,Charlotte Villiers
2001,Chris Finn
2009,Chris Hilson
2010,CHRIS THORNHILL
2010,CHRIS THORNHILL
2001,Chris Tollefson
1998,Chrisje Brants
2005,Christine Bell; Johanna Keenan
1999,Christine Parker
1998,Christine Parker; Andrew Goldsmith
2010,Christine Parker; Tahlia Gordon; Steve Mark
1996,Christine Piper
1996,Christopher Hood; Colin Scott
1995,Christopher Miller
1988,Christopher Norris
1992,Christopher Whelan; Doreen McBarnet
2014,CHRISTOS BOUKALAS
1991,Claire Corbett
2014,Clare McGlynn; Ian Ward
2009,Clare McGlynn; Ian Ward
2012,Clare McGlynn; Nicole Westmarland; Nikki Godden
2011,CLAUDIO M. RADAELLI
2008,Clem Henricson
2000,Clifford Shearing
2003,Clifford Shearing; Jennifer Wood
1987,Clive Ponting
2000,Clive Ponting
1991,Clive Unsworth
1982,Clive Unsworth
1986,Colin Campbell
2000,Colin Harvey
2000,Colin Harvey; John Morison; Jo Shaw
1997,Colin Mayer
1996,Colin Scott
2004,Colin Scott
2002,Colin Scott
2000,Colin Scott
2011,Colin Scott; Fabrizio Cafaggi; Linda Senden
2003,Colm Campbell; Ita Connolly
2005,Conor Gearty
1992,Conor Gearty
2002,Costas Douzinas
2007,Costas Douzinas
1987,Costas Douzinas; Ronnie Warrington
2008,Craig Lind; Heather Keating
1997,Cyrus Tata
2007,Cyrus Tata
1995,D. J. Galligan
2000,Damian Chalmers
2013,Dan Priel
2001,Daniel H. Cole
2005,Daniel Monk
2016,Daniel Monk
2005,Daniel Muzio; Stephen Ackroyd
2015,DANIEL NEWMAN
2009,Daniel Wincott
2011,Daniel Wincott
2002,Daphne Barak-Erez
2012,Dave Cowan; Caroline Hunter; Hal Pawson
2003,Dave Cowan; Delia Lomax
2008,Dave Cowan; Helen Carr
1999,Dave Cowan; Rose Gilroy; Christina Pantazis
2006,Dave Cowan; Sarah Blandy; Emma Hitchings; Caroline Hunter; Judy Nixon
2003,Dave Whyte
2001,Dave Whyte
2007,David Bates
2012,David Bholat; Alison Dunn; Joanna Gray
1990,David Bradley
1999,David Bradley
1989,David Burnet; Richard Thomas
1997,David Campbell
1990,David Campbell
1986,David Campbell
1986,David Campbell
1999,David Campbell
1992,David Campbell
1997,David Campbell
1994,David Campbell
1993,David Campbell; Donald Harris
2003,David Capper
1995,David Cowan
1997,David Cowan
1984,David Dixon
1983,David Dixon
1990,David Dixon; Clive Coleman; Keith Bottomley
2016,David Erdos
1992,David Feldman
2007,David Feldman
1995,David Feldman
2009,David Fraser
2011,DAVID FRASER
2008,David Fraser
1991,David Freestone
2016,David Gurnham
2016,David Gurnham
1989,David Jabbari
2006,David Kershaw
2011,David McCallum
1996,David McLellan
1984,David Miers
1982,David Nelken
1987,David Nelken
1996,David Nelken
1998,David Nelken
1996,David Nelken; Michael Levi
1982,David Podmore; Anne Spencer
1996,David S. Wall
2015,David Sugarman
2009,David Sugarman
2005,David Sugarman; H. L. A. Hart
1994,David Tait
2000,David Wood
1995,Davina Cooper
2001,Davina Cooper
1993,Davina Cooper
2000,Davina Cooper
1996,Davina Cooper
2016,Davina Cooper; Flora Renz
1993,Deborah Cheney
1996,Deborah Cheney
1988,Dee Cook
2000,Deena Haydon; Phil Scraton
2011,Deirdre Curtin; Linda Senden
1993,Denise Twomey
1985,Derek Morgan
1994,Derek Oulton
2008,Dermot Feenan
1997,Dermot Feenan
2001,Dermot Feenan
1982,Dermot P. J. Walsh
2011,Dermot P.J. Walsh
1997,Deryck Beyleveld
2016,Dia Anagnostou
2013,Diamond Ashiagbor; Prabha Kotiswaran; Amanda Perry-Kessaris
2004,Diane Longley
1996,Didi Herman
2006,Didi Herman
1997,Dirk van Zyl Smit
1984,Dominic Byrne
2011,Donal Casey; Colin Scott
2014,Donald Feaver; Benedict Sheehy
2006,Donald Nicolson
1996,Donatella Della Porta; Alessandro Pizzorno; John Donaldson
1988,Doreen McBarnet
2009,Doris Marie Provine
2001,Douglas Lewis
2004,Douglas W. Vick
1998,Douglas W. Vick; Andrew D. Murray; Gavin F. Little; Kevin Campbell
2001,Douglas W. Vick; Kevin Campbell
1983,E. McLeod
1996,Eileen Fegan
1996,Eileen Fegan
1985,Elaine Wade
2012,Elen Stokes
2006,Elena Marchetti
1997,Elizabeth Chambliss
1988,Elizabeth Kingdom
1985,Elizabeth Kingdom
2003,Ellie Lee
2012,Emilie Cloatre; Nick Wright
2014,Emilios Avgouleas; Jay Cullen
2008,Emily Finch; Vanessa E. Munro
1992,Emily Jackson
1993,Emily Jackson
2015,EMILY JACKSON
2009,Emily Reid; Jenny Steele
2012,Emmanuelle Rial-Sebbag; Anne Cambon-Thomsen
1986,Erhard Blankenburg; Ralf Rogowski
1996,Erin Striff
2014,Ernest Lim
2011,Fabrizio Cafaggi
1989,Faith Robertson Elliot
1994,Felicity Kaganas; Christina Murray
1991,Felicity Kaganas; Christina Murray
2010,Feona Attwood; Clarissa Smith
2015,Fiona Cownie
1998,Fiona Cownie
2011,Fiona de Londras
1995,Fiona Donson
2007,Fiona E. Raitt
1997,Fiona E. Raitt; M. Suzanne Zeedyk
2001,Fionnuala Ní Aolaín
2007,Fleur Johns
1993,Frances Olsen
1999,Frances Webber
2003,Francis Regan
1987,Francis Snyder
1996,Frank Pearce
2013,Fred Block
2010,FREDERICK COWELL
2007,Gary Lynch-Wood; David Williamson
2002,Gary Wickham
2006,Gary Wickham
2010,GARY WICKHAM
2000,Gary Wilson
2012,Gavin W. Anderson
1984,Genevra Richardson
1984,Geoff Mungham
1983,Geoff Mungham
1982,Geoff Mungham
1988,Geoff Whitty; Ian Menter
2002,Geoffrey Bindman
1995,Geoffrey M. Stephenson
