"author","display_name_alternatives","year"
William Twining,"[""W. L. Twining"", ""William L. Twining"", ""W. Twining"", ""William Lawrence Twining"", ""W Twining"", ""William Twining""]",1998
Conor Gearty,"[""Conor A. Gearty"", ""C. Gearty"", ""Conor Gearty"", ""C. A. Gearty"", ""CONOR GEARTY"", ""Conor Anthony Gearty""]",2005
Rachel Cahill-O'Callaghan,"[""RACHEL CAHILL‐O'CALLAGHAN"", ""Rachel J. Cahill-O'Callaghan"", ""Rachel J. Cahill‐O'Callaghan"", ""Rachel Cahill-O’callaghan"", ""Rachel J Cahill-O’Callaghan"", ""Rachel Cahill-O'callaghan"", ""Rachel Cahill-O'Callaghan"", ""Rachel J Cahill-O'Callaghan"", ""Rachel Cahill-O’Callaghan""]",2013
Marcelo Neves,"[""Marcelo Nogueira Neves"", ""Marcelo Neves""]",2001
Sharyn Roach Anleu,"[""Sharyn Roach Anleu"", ""Sharyn Anleu"", ""Sharyn Leanne Roach Anleu"", ""Roach Anleu"", ""SHARYN ROACH ANLEU"", ""Sharyn L Roach Anleu"", ""Sharyn L. Roach Anleu""]",2021
Rosemary Hunter,"[""ROSEMARY HUNTER"", ""Rosemary C. Hunter"", ""R S Hunter"", ""Rosemary Hunter"", ""R. Hunter"", ""R C A Hunter"", ""R Hunter"", ""Rosemary Claire Hunter"", ""Rosemary S. Hunter"", ""Rosemary S Hunter""]",2021
Kathy Mack,"[""Kathleen Mack"", ""Kathleen M Mack"", ""Kathy Mack"", ""Kathleen Margaret Mack"", ""K. H. Mack"", ""K. Mack""]",2021
Damián A. González-Salzberg,"[""Damián González-Salzberg"", ""Damian Gonzalez-Salzberg"", ""Damián A González-Salzberg"", ""D.A. Gonzalez-Salzberg"", ""Damián A. González-Salzberg"", ""Damian A. Gonzalez-Salzberg"", ""Damian A. Gonzalez‐Salzberg"", ""Damian A Gonzalez-Salzberg""]",2021
Maroula Perisanidi,"[""Maroula Perisanidi""]",2021
Ellen Gordon-Bouvier,"[""E. Gordon-Bouvier"", ""Ellen Gordon-Bouvier""]",2021
Bob Jessop,"[""Ngai-Ling Sum Bob Jessop"", ""Bob Jessop"", ""Robert Douglas Jessop"", ""BOB JESSOP"", ""B Jessop"", ""R. D. Jessop"", ""Bob Jessop""]",2017
Erin Striff,"[""Erin Striff""]",1996
Martha C. Nussbaum,"[""Martha C. Nussbaum"", ""Martha Craven Nussbaum"", ""Martha Nussbaum"", ""M Nussbaum"", ""Martha C . Nussbaum"", ""M. Nussbaum"", ""MARTHA C. NUSSBAUM"", ""Martha C Nussbaum""]",1996
John Wightman,"[""John R. Wightman"", ""J. Wightman"", ""John Wightman""]",1997
J.A. Mc Cahery,"[""J.A. Mc Cahery""]",2014
E.P.M. Vermeulen,"[""E.P.M. Vermeulen"", ""Erik Paulus Marinus Vermeulen"", ""Erik P. M. Vermeulen"", ""Erik P M Vermeulen"", ""ERIK P. M. VERMEULEN"", ""Erik.P.M. Vermeulen"", ""Erik P.M. Vermeulen"", ""E. Vermeulen"", ""Erik Vermeulen""]",2014
Rosemary Auchmuty,"[""Rosemary S. Auchmuty"", ""R. Auchmuty"", ""Rosemary Auchmuty""]",2015
Philip A. Thomas,"[""P. A. Thomas"", ""P.A. Thomas"", ""P Thomas"", ""Philip Aneurin Thomas"", ""Philip A. Thomas"", ""Philip Thomas"", ""P. Thomas""]",2005
Ruth Costigan,"[""Ruth Costigan"", ""R. Costigan"", ""Ruth S. Costigan"", ""R Costigan""]",2005
David Cowan,"[""DS Cowan"", ""Dave Cowan"", ""D. L. Cowan"", ""David S Cowan"", ""D. Cowan"", ""David S. Cowan"", ""D. W. Cowan"", ""D. S. C. Cowan"", ""David Cowan"", ""D. S. Cowan"", ""David Cowan""]",2012
Hal Pawson,"[""HAL PAWSON"", ""H. Pawson"", ""Hal Pawson"", ""H Pawson"", ""Roger Pawson""]",2012
Caroline Hunter,"[""C. Hunter"", ""Caroline Margaret Hunter"", ""Caroline Hunter"", ""C Hunter""]",2012
Roger Cotterrell,"[""Roger Cotterrell"", ""Roger B. M. Cotterrell"", ""Roger B.M. Cotterrell"", ""R Cotterrell"", ""ROGER COTTERRELL""]",1992
Phil Fennell,"[""Philip Fennell"", ""P. Fennell"", ""Phil Fennell"", ""P. W. H. Fennell"", ""Philip W. H. Fennell"", ""P Fennell"", ""Philip William Hugh Fennell""]",1986
John Coggon,"[""J Coggon"", ""John. Coggon"", ""John Coggon""]",2020
Andrew Murray,"[""Andrew Murray"", ""Andrew D Murray"", ""Andrew Douglas Murray"", ""A. D. Murray"", ""Andrew D. Murray"", ""A.D. Murray"", ""A. Murray""]",2003
Fiona de Londras,"[""Fiona de Londras"", ""Fiona De Londras"", ""F de Londras"", ""Fiona de Londras Fiona de Londras"", ""de Londras""]",2011
Michael Robertson,"[""Michael Keith Robertson"", ""Michael David Robertson"", ""M.K. Robertson"", ""M. Robertson"", ""Michael D Robertson"", ""Michael D. Robertson"", ""M Robertson"", ""Michael Robertson""]",1997
Carl F. Stychin,"[""Carl Stychin"", ""Carl F. Stychin"", ""Carl F Stychin"", ""C. Stychin""]",1996
Linda Mulcahy,"[""L. Mulcahy"", ""L.J. Mulcahy"", ""Linda J Mulcahy"", ""Linda Mulcahy"", ""LINDA MULCAHY"", ""L Mulcahy""]",2008
Katherine O'Donovan,"[""O'Donovan Katherine"", ""Katherine O'donovan"", ""Katherine O'Donovan"", ""Katherine O’Donovan"", ""K O'Donovan""]",1993
Francis Regan,"[""Francis Regan"", ""F. Scott Regan""]",2003
